nome_via,nome_normalizado,highway_tag,osm_way_id,lat_ref,lon_ref,regra_inclusao,duplicado,osm_way_id_canonico
Rua Evandro Tuy Júnior,rua evandro tuy junior,residential,130059503,-23.1973638,-45.9368338,inside_urbanova_boundary,nao,130059503
Rua Francisco J S Coelho,rua francisco j s coelho,residential,129964525,-23.1934121,-45.9318306,inside_urbanova_boundary,nao,129964525
Rua Heli Adilson de Oliveira,rua heli adilson de oliveira,residential,130057748,-23.1964301,-45.9396671,inside_urbanova_boundary,nao,130057748
Rua Hélio Chaves Monteiro,rua helio chaves monteiro,residential,417027274,-23.196914,-45.9334836,inside_urbanova_boundary,nao,417027274
Rua Hélio Chaves Monteiro,rua helio chaves monteiro,residential,968469819,-23.1972534,-45.9330881,inside_urbanova_boundary,sim,417027274
Rua João Carlos de Oliveira,rua joao carlos de oliveira,residential,130059505,-23.1972609,-45.9353036,inside_urbanova_boundary,nao,130059505
Rua João Steiner,rua joao steiner,residential,130059485,-23.1999151,-45.9398811,inside_urbanova_boundary,nao,130059485
Rua Joaquim Borges,rua joaquim borges,residential,129961923,-23.1947609,-45.9334296,inside_urbanova_boundary,nao,129961923
Rua Luiz Barbosa,rua luiz barbosa,residential,130057749,-23.1985096,-45.9400979,inside_urbanova_boundary,nao,130057749
Rua Marcos Salgada de Araújo,rua marcos salgada de araujo,residential,130059507,-23.1970832,-45.9363384,inside_urbanova_boundary,nao,130059507
Rua Maria Aparecida de Farias,rua maria aparecida de farias,residential,130059482,-23.1999151,-45.9398811,inside_urbanova_boundary,nao,130059482
Rua Maria da C Chaves Monteiro,rua maria da c chaves monteiro,residential,129961919,-23.2007268,-45.9360265,inside_urbanova_boundary,nao,129961919
Rua Nacim Anis Mimessi,rua nacim anis mimessi,residential,130057746,-23.1982214,-45.9421635,inside_urbanova_boundary,nao,130057746
Rua Norival Russiano Vieira,rua norival russiano vieira,residential,129961925,-23.195891,-45.9340867,inside_urbanova_boundary,nao,129961925
Rua Onofre do Prado,rua onofre do prado,residential,130059499,-23.1982192,-45.9375543,inside_urbanova_boundary,nao,130059499
Rua Professor João Bernardo da Silva,rua professor joao bernardo da silva,residential,130059500,-23.1977159,-45.9372616,inside_urbanova_boundary,nao,130059500
Rua Rosa Barbieri Paiotti,rua rosa barbieri paiotti,residential,130058030,-23.197086,-45.9421943,inside_urbanova_boundary,nao,130058030
